symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
QNTUSDT,106.24,111.9,103.66,111.07,39075.832,1224929648.3543675,12072738.0,14881364.0,16832772.18773199,0.013741827712592301
FLOWUSDT,0.374,0.415,0.36,0.412,4670058.85,661283817.3892591,1606840676.485047,1606840676.485047,25200430.76446923,0.038108343349396084
RAYUSDT,3.197,3.6,3.102,3.572,6667497.7,911693941.0539794,268127089.855586,554998191.170841,56576144.76100547,0.06205607190456881
MINAUSDT,0.1803,0.1946,0.1735,0.1929,15427760.1,225204961.5613049,1250513031.8400393,1250513031.8400393,7152563.13195907,0.03176023779570244
FARMUSDT,29.3,30.87,28.6,30.75,21835.139,19073096.430465132,672183.450713,690420.0,1085713.93539083,0.05692384240540187
MBOXUSDT,0.0581,0.0654,0.0558,0.065,31007588.7,28402394.490882844,500322467.0,550322467.0,3940609.49938711,0.13874215783644736
GHSTUSDT,0.449,0.497,0.432,0.496,2427096.6,23343623.855837908,52747801.21406849,52747802.71425598,3246813.08176802,0.13908779124523282
QUICKUSDT,0.02317,0.02573,0.02268,0.02529,49411391.0,19929520.49456141,739998.11830005,946467.67266824,11934.02858751,0.000598811626740678
REQUSDT,0.1395,0.1517,0.138,0.151,3303444.0,100825021.03773235,824196291.1180449,999418201.4136702,4703654.50128329,0.04665165901153656
WAXPUSDT,0.02024,0.02173,0.01962,0.02168,36048525.0,88289729.33885437,4448107766.405597,4452986540.71772,2969714.30940231,0.03363601102461874
IDEXUSDT,0.02463,0.02588,0.02359,0.02574,48230261.6,28427808.409279954,974700189.0259144,1000000000.0,8807567.56943822,0.30982225019369003
DYDXUSDT,0.6358,0.7226,0.609,0.7184,11804604.35,465780967.37895215,777765104.1081469,958342745.0,12096909.04435019,0.025971239469963856
XECUSDT,1.973e-05,2.112e-05,1.918e-05,2.108e-05,57712319093.0,389176341.5047609,19915251547581.0,19915251547581.0,6199096.1429827,0.01592875897597918
GNOUSDT,129.34,143.02,127.33,142.41,5546.017,350539954.13421154,2639061.44221045,2999934.74597423,5819704.84004024,0.016602115597390776
ILVUSDT,15.04,16.35,14.47,16.09,282347.279,88703922.25171927,6338464.32787597,9072421.97887894,15100851.50168884,0.17023882505258842
USDPUSDT,1.0,1.0003,0.9994,0.9997,225812.0,66961948.648379065,66953468.26571843,66953468.26571843,7254910.06443955,0.10834377151321399
GALAUSDT,0.01622,0.01894,0.0156,0.01885,1273625049.0,742891837.6754853,45842142181.076965,45842142181.076965,66550128.42876763,0.08958252743360802
SYSUSDT,0.04234,0.0473,0.03985,0.04636,35990584.0,33365766.567913283,832971419.0302145,832971419.0302145,1030771.35363349,0.030893081732003353
YGGUSDT,0.1527,0.1808,0.1459,0.1769,52913378.9,90415151.0354686,594969456.3894259,999716414.322777,19752973.42738968,0.2184697277079244
DFUSDT,0.02864,0.0317,0.02775,0.0315,31446172.0,27209435.916357152,999926146.6275177,999926146.6275177,2257808.9330249,0.08297889526138988
AGLDUSDT,0.674,0.737,0.655,0.731,1392882.3,57044411.23604733,83510001.0,92810001.0,7780896.66159075,0.13640068313429923
FIDAUSDT,0.0894,0.104,0.0859,0.102,43019013.7,86273888.33155611,990911314.539031,990911314.539031,7440912.17825075,0.08624755788976202
RADUSDT,0.689,0.721,0.665,0.713,6579009.7,34549021.76098925,51575978.89552598,99998580.0,19340131.8610684,0.5597881177320672
RAREUSDT,0.0556,0.0598,0.0533,0.0594,56296871.0,44764703.305521704,824360650.2218294,1000000000.0,6672055.68961209,0.14904724474715986
CHESSUSDT,0.07153,0.0777,0.06831,0.07736,14196589.2,14688789.578029128,204350890.0,300000000.0,1545663.85405764,0.10522744885457266
ADXUSDT,0.1339,0.1472,0.1302,0.1453,8349102.0,19935595.13469668,147900000.0,150000000.0,4304527.2674922,0.21592168372242043
LAZIOUSDT,1.059,1.1,1.021,1.092,1130174.55,10995097.078981875,12122918.91763,40000000.0,2755532.73783286,0.25061468016506294
AUCTIONUSDT,9.62,10.29,9.24,10.23,380973.47,59013658.68980987,6090248.18100565,7640877.20358214,8385573.45383636,0.14209546806635004
MOVRUSDT,6.327,6.887,6.014,6.834,265702.067,59242457.605177626,10000061.0,12076436.0,8717218.20751531,0.1471447769032703
CITYUSDT,1.078,1.123,1.05,1.111,908143.31,10968298.680077907,10939046.0,19740000.0,2543601.4133869,0.23190482750136351
QIUSDT,0.00689,0.00749,0.00666,0.00744,106110758.0,53381058.81622445,7200000000.0,7200000000.0,1813859.26875857,0.03397945467891829
ENSUSDT,24.44,28.09,23.78,27.56,909507.93,841921916.0715512,36777219.5921461,100000000.0,53823341.94758635,0.06392913751280961
PORTOUSDT,1.149,1.196,1.091,1.175,1049911.5,10932073.956536997,11328206.35209,40000000.0,3955021.16419308,0.36178141310763046
POWRUSDT,0.1592,0.1724,0.1541,0.1721,4440460.0,90313920.41687022,568075415.977105,1000000000.0,3668907.81536216,0.04062394588151247
JASMYUSDT,0.01498,0.01685,0.01454,0.01649,501166034.9,708481179.1928841,49444999677.16958,50000000000.0,24608261.24123375,0.034733824925692415
AMPUSDT,0.003551,0.003828,0.003516,0.003734,377589355.0,282809585.71850955,84282013820.2134,99719967269.91672,6642017.52998162,0.023485828859396075
PYRUSDT,1.03,1.122,1.006,1.11,1646765.108,45221953.61792627,44219643.06685245,50000000.0,7709685.83815193,0.1704854660479719
ALCXUSDT,10.06,11.09,9.74,10.9,83830.105,23788181.77255942,2478642.75191828,2600661.37368812,1672923.04865902,0.07032580567333654
SANTOSUSDT,2.313,2.34,2.126,2.222,2950858.88,23982453.98098331,13394854.291549,30000000.0,29571701.36733774,1.2330556910809203
FLUXUSDT,0.2017,0.2266,0.1966,0.2253,6467764.49,79183672.09331653,390470459.4991484,390470459.4991484,3540138.46900106,0.044707935050411284
BICOUSDT,0.1049,0.1216,0.1002,0.1165,22753974.87,94895559.39117272,978270075.1767402,1000000000.0,6898091.79405889,0.07269140767297651
VOXELUSDT,0.0568,0.0607,0.0543,0.0603,16736006.0,13971406.129286133,246352480.74096566,300000000.0,3896581.37801974,0.2788968656384506
SPELLUSDT,0.0004862,0.0005177,0.0004705,0.0005113,2681329950.0,80533502.21015395,166146311645.1774,196008739620.0,5803092.50432825,0.07205811674730042
HIGHUSDT,0.542,0.605,0.521,0.598,3398626.173,38846182.29597814,75720156.01258035,100000000.0,4227042.6764175,0.10881488029404471
PEOPLEUSDT,0.01911,0.02174,0.01819,0.02161,583689656.4,94945747.56368606,5060137334.7,5060137334.7,25642763.44264702,0.27007806142604557
CVXUSDT,3.956,4.45,3.812,4.298,1320972.194,362858575.0199297,99411254.40630296,99920548.22721404,9600353.64945067,0.02645756311235963
JOEUSDT,0.151,0.1686,0.1443,0.1665,7851137.58,66911640.31192647,403060530.0,464573155.0,9072011.33421328,0.13558195990894376
GLMRUSDT,0.0739,0.0807,0.0722,0.0805,13942660.6,69638118.35973543,1006931072.0,1190790741.0,4071193.32000457,0.05846213849394476
SCRTUSDT,0.1779,0.1957,0.1709,0.1941,5750540.8,54956039.646701284,318074620.336203,333030035.615599,2785720.43286015,0.05068997785809993
API3USDT,1.5672,1.607,1.4299,1.5525,18615948.01,89065186.81311738,86421978.0,151526604.45527676,24387134.78293047,0.2738122004291218
ACAUSDT,0.0298,0.0339,0.0296,0.032,194719725.97,34467963.7930508,1166666660.0,1600000000.0,4122567.08338663,0.11960576227069711
ACHUSDT,0.02104,0.023,0.01977,0.02256,506609473.0,188516101.7795135,9453097145.70716,9999999999.999989,12338370.92988738,0.06544995792623705
IMXUSDT,0.535,0.613,0.514,0.612,7299352.78,1002491253.7863877,1915420869.3898141,2000000000.0,25292323.58984099,0.02522947057574062
TUSDT,0.01593,0.01701,0.0154,0.01697,56541212.0,164111956.31501523,10132205877.32724,11155000000.0,3743813.28342916,0.022812556546720198
XNOUSDT,0.951,1.003,0.926,0.989,586260.8,118683965.61941276,133248297.0,133248297.0,701715.29880264,0.005912469263563794
ASTRUSDT,0.02441,0.02691,0.02394,0.02679,173441512.0,191867195.52923155,8164377289.0,8504524605.0,3694315.59545957,0.019254545235153186
ALPINEUSDT,1.947,2.04,1.916,1.985,2787774.68,33265881.610310342,18719459.22168,40000000.0,6272393.67696637,0.18855335777490173
WOOUSDT,0.0722,0.0802,0.0688,0.0797,24482363.4,130407555.12195456,1905073607.037396,2205073607.037396,5263391.28102297,0.04036109162617726
APEUSDT,0.5905,0.6428,0.5651,0.6414,11581309.41,433669221.9847032,752651515.0,1000000000.0,23685702.67005366,0.05461697872321944
STEEMUSDT,0.1302,0.1391,0.1256,0.1387,5586279.7,68867110.54674037,525560602.25,525560602.25,4722355.01382588,0.06857199287634988
BIFIUSDT,187.6,202.2,184.0,199.6,1339.935,14900945.1522576,80000.0,80000.0,555270.92266943,0.03726414109948606
GMTUSDT,0.0413,0.0448,0.0399,0.0445,111400189.9,129426623.56988461,3095773763.12661,5119273763.12661,14410540.22514173,0.11134139041617415
KDAUSDT,0.3791,0.4225,0.3632,0.4171,9272626.97,116365806.22638756,330730446.62782,1000000000.0,4497324.79487827,0.03864816427369399
LDOUSDT,1.2773,1.55,1.2671,1.5399,53955639.0,1107819449.4110394,895647172.7865461,1000000000.0,84167255.41719998,0.07597560727241846
REIUSDT,0.01777,0.01912,0.01696,0.01903,78804835.7,22672998.24751727,950000000.0,1000000000.0,1085595.22278932,0.04788053220566867
NEXOUSDT,1.289,1.353,1.261,1.346,1055858.48,821606951.9233202,646145839.5746847,1000000000.0,10281710.29011564,0.012514147143043188
OPUSDT,0.7137,0.8058,0.6866,0.789,56985765.74,1270950285.1945107,1778634390.0,4294967296.0,114498531.4559503,0.09008891440504067
GMXUSDT,15.02,16.01,14.34,15.84,184508.406,153131000.26204363,10287503.6518049,10287503.6518049,4702529.00807178,0.030709190170668466
STGUSDT,0.1694,0.1833,0.1655,0.1808,15543669.9,107698764.71602263,660951371.0,1000000000.0,3504111.68284481,0.03253622910238908
POLYXUSDT,0.13,0.1393,0.1252,0.1391,12322397.7,128835372.63153917,990983074.204626,1196104162.607267,2003143.26057745,0.015548084502431721
APTUSDT,4.416,4.816,4.278,4.798,7998410.24,3003760166.4399996,687803813.332799,1173271191.2382479,87179002.5349172,0.02902329004457108
LUNCUSDT,5.925e-05,6.346e-05,5.746e-05,6.306e-05,59013432118.52,325971221.8837347,5504185667737.597,6489992970700.407,6708064.59994395,0.020578701890243977
HFTUSDT,0.0823,0.0931,0.0816,0.0898,78923317.1,53459683.5561371,600466116.9632001,997353568.2839,53975059.02854007,1.0096404512357762
OSMOUSDT,0.1639,0.1803,0.1593,0.1799,3796656.79,125087581.45519134,742804350.0,995920900.0,5050679.59870791,0.04037714647570475
HOOKUSDT,0.1046,0.1148,0.099,0.1146,23038275.3,28607590.01946011,259748730.57573897,500000000.0,14838427.78182408,0.5186884939182345
HIFIUSDT,0.0957,0.0982,0.0902,0.0968,16803960.6,9161327.05552892,141882824.46783176,166882824.46783176,40719729.36148042,4.444741369309133
PHBUSDT,0.554,0.611,0.528,0.601,3752470.4,31451737.527387373,58435216.73630908,58435216.73630908,7576190.14394456,0.24088303984310583
RPLUSDT,7.12,8.49,6.83,8.31,334152.59,145039520.2068239,21707238.69416839,21707238.69416839,5459593.17686113,0.03764210726204722
MAGICUSDT,0.2283,0.2448,0.2203,0.2426,27119102.8,63031101.687345035,315012986.8431802,347687044.4673523,15168866.99856122,0.24065685974844264
LQTYUSDT,0.903,0.999,0.846,0.989,3032883.3,78137157.71645027,95246389.81966919,100000000.0,34555912.29876065,0.44224685551219595
GNSUSDT,2.032,2.326,2.007,2.275,338320.89,62802816.451076776,28225747.01237249,28225747.01237249,2131077.85736766,0.033932838967942844
SSVUSDT,8.451,10.747,8.124,10.632,1380684.641,124916362.42165153,13645813.62319396,13849182.61382318,18709903.41147931,0.14977944481223826
SYNUSDT,0.1345,0.1426,0.127,0.1407,13947227.6,22312551.796224598,183741183.11316577,198554203.02323142,2500215.70432294,0.1120542252251932
GLMUSDT,0.2422,0.2572,0.2327,0.2557,5340137.0,237158397.4589342,1000000000.0,1000000000.0,6578094.03903294,0.02773713311236212
GASUSDT,3.428,3.572,3.193,3.572,793437.5,211870926.12600923,64992331.0,64992331.0,6912927.23306758,0.032628012533235204
PROMUSDT,9.136,9.388,8.708,8.956,336966.79,165644191.5158476,18250000.0,19250000.0,4593511.83751977,0.027731197788968633
USTCUSDT,0.01347,0.01447,0.01315,0.01435,139002729.0,74838394.42415242,5592140534.673229,6093345691.511508,3631852.92425193,0.0485292736729241
QKCUSDT,0.007088,0.007409,0.006811,0.007409,78906676.0,48764822.7820806,7157166469.0,10000000000.0,1843583.07473163,0.03780559365447102
IDUSDT,0.1555,0.1678,0.1498,0.1674,13250041.0,175869412.86448833,1099792313.4004354,1995195090.733769,9751682.05357958,0.055448425594583
WBTCUSDT,112549.4,117410.35,111725.77,117005.03,93.56668,14253591752.348242,127404.59964837,127404.59964837,185950788.09208745,0.013045889858705442
RDNTUSDT,0.02117,0.02325,0.02012,0.0231,63669209.0,26833124.812839467,1292068562.0,1500000000.0,3135452.52850849,0.11685007058917705
