symbol,open,high,low,close,volume,unlocked_mkt_cap,circulating_supply,total_supply,volume_24h,volume_market_cap_24h
SUNUSDT,0.02384,0.02492,0.02372,0.0249,64496372.0,425174850.74528867,19161949451.31451,19900730000.0,14248586.5547071,0.03351229859840196
RUNEUSDT,1.276,1.394,1.238,1.388,13759872.0,425142833.15883225,351324449.0,425415266.0,41884386.15081316,0.09851838696094228
COMPUSDT,44.99,50.01,43.55,49.45,139866.816,407945404.3418654,9457131.85118033,10000000.0,21664909.71830004,0.05310737536865219
EIGENUSDT,1.316,1.528,1.277,1.508,20510333.69,407482188.895145,327741070.01361275,1745742217.0723069,66870996.65050449,0.16410777813827837
EGLDUSDT,14.74,16.23,14.19,16.1,254300.69,400556468.9914291,28580375.51013093,28588531.0,16329831.23500198,0.04076786295854679
AXSUSDT,2.276,2.52,2.173,2.503,2297440.03,399281083.4822926,166693057.8431259,270000000.0,25214221.99887974,0.06314905223902986
KAVAUSDT,0.3718,0.3868,0.3679,0.3854,9815052.7,398660169.6780983,1082853067.0,1082853067.0,7170679.16480501,0.01798694655298782
CHZUSDT,0.03956,0.04287,0.03828,0.04251,106254882.0,389204553.0582711,9815850385.0,9815850385.0,19616276.64682281,0.050400943392576114
XECUSDT,1.973e-05,2.112e-05,1.918e-05,2.108e-05,57712319093.0,389176341.5047609,19915251547581.0,19915251547581.0,6199096.1429827,0.01592875897597918
WUSDT,0.0786,0.086,0.0753,0.0853,76451743.4,372839482.97251403,4744458107.0,10000000000.0,43717900.78764501,0.11725662861427132
CVXUSDT,3.956,4.45,3.812,4.298,1320972.194,362858575.0199297,99411254.40630296,99920548.22721404,9600353.64945067,0.02645756311235963
SUPERUSDT,0.6299,0.685,0.6053,0.6801,5516969.0,353252638.96417874,619245952.4169173,999998077.4169173,9344098.0491238,0.02645160154082056
GNOUSDT,129.34,143.02,127.33,142.41,5546.017,350539954.13421154,2639061.44221045,2999934.74597423,5819704.84004024,0.016602115597390776
1INCHUSDT,0.2478,0.2747,0.2374,0.2721,13021164.7,345648142.82793105,1396095115.824982,1500000000.0,16148361.13040247,0.046719073906441824
